,H_TEAM,H_TEAM1,H_H/A,H_TEAM2,GAMEDATE,H_W/L,H_MIN,H_PTS,H_FGM,H_FGA,H_FG%,H_3PM,H_3PA,H_3P%,H_FTM,H_FTA,H_FT%,H_OREB,H_DREB,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PF,H_+/-,A_TEAM,A_TEAM1,A_H/A,A_TEAM2,GAMEDATE,A_W/L,A_MIN,A_PTS,A_FGM,A_FGA,A_FG%,A_3PM,A_3PA,A_3P%,A_FTM,A_FTA,A_FT%,A_OREB,A_DREB,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PF,A_+/-
221,ATL,ATL,vs, BOS,2021-04-05,W,48,123,44,89,49.4,11,23,47.8,24,34,70.6,13,39,52,26,17,7,4,30,7,BOS,BOS,@,ATL,2021-04-05,L,48,116,37,90,41.1,15,43,34.9,27,34,79.4,10,28,38,28,12,9,4,29,-7
222,ATL,ATL,vs,PHX,2021-04-05,W,48,96,41,83,49.4,4,25,16.0,10,14,71.4,8,46,54,21,15,9,4,17,27,PHX,PHX,@,ATL,2021-04-05,L,48,69,26,83,31.3,4,20,20.0,13,18,72.2,9,28,37,16,16,5,6,9,-27
223,ATL,ATL,vs, TOR,2021-04-05,W,48,95,33,76,43.4,12,32,37.5,17,21,81.0,5,36,41,23,13,4,12,19,8,TOR,TOR,@,ATL,2021-04-05,L,48,87,32,84,38.1,8,21,38.1,15,20,75.0,8,38,46,16,12,10,4,16,-8
224,ATL,ATL,vs,DET,2021-04-05,L,48,95,34,89,38.2,9,35,25.7,18,24,75.0,17,31,48,26,16,9,5,23,-7,DET,DET,@,ATL,2021-04-05,W,48,102,37,86,43.0,6,17,35.3,22,32,68.8,16,37,53,14,15,13,4,20,7
225,ATL,ATL,vs,BOS,2021-04-05,W,48,105,40,76,52.6,9,23,39.1,16,22,72.7,8,35,43,30,16,7,5,14,8,BOS,BOS,@,ATL,2021-04-05,L,48,97,37,84,44.0,12,26,46.2,11,14,78.6,11,28,39,25,16,7,3,22,-8
226,ATL,ATL,vs, BOS,2021-04-04,W,48,118,46,88,52.3,17,33,51.5,9,11,81.8,5,39,44,31,18,10,10,22,11,BOS,BOS,@,ATL,2021-04-04,L,48,107,40,90,44.4,11,28,39.3,16,24,66.7,10,30,40,26,15,10,6,21,-11
227,ATL,ATL,vs, CLE,2021-04-04,W,53,126,44,94,46.8,9,31,29.0,29,37,78.4,10,35,45,31,12,8,4,22,1,CLE,CLE,@,ATL,2021-04-04,L,53,125,45,98,45.9,19,46,41.3,16,20,80.0,13,40,53,28,17,4,3,27,-1
228,ATL,ATL,vs,CHA,2021-04-04,W,48,104,41,82,50.0,10,28,35.7,12,16,75.0,9,35,44,31,14,10,4,18,24,CHA,CHA,@,ATL,2021-04-04,L,48,80,30,83,36.1,8,30,26.7,12,18,66.7,12,34,46,21,15,8,3,15,-24
229,ATL,ATL,vs, PHI,2021-04-04,L,48,113,41,98,41.8,13,37,35.1,18,26,69.2,8,31,39,27,10,10,3,24,-8,PHI,PHI,@,ATL,2021-04-04,W,48,121,43,87,49.4,17,37,45.9,18,30,60.0,11,43,54,29,18,7,8,22,8
230,ATL,ATL,vs, IND,2021-04-04,L,48,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,17,5,7,25,-1,IND,IND,@,ATL,2021-04-04,W,48,135,45,98,45.9,12,30,40.0,33,39,84.6,13,30,43,22,8,12,7,28,1
231,ATL,ATL,vs,MIA,2021-04-04,L,48,90,37,83,44.6,4,12,33.3,12,21,57.1,15,20,35,25,14,11,1,21,-8,MIA,MIA,@,ATL,2021-04-04,W,48,98,36,69,52.2,6,17,35.3,20,24,83.3,10,28,38,24,19,5,3,19,8
232,ATL,ATL,vs, CHA,2021-04-04,W,48,103,41,79,51.9,7,27,25.9,14,18,77.8,11,39,50,30,17,6,4,17,27,CHA,CHA,@,ATL,2021-04-04,L,48,76,29,88,33.0,3,23,13.0,15,19,78.9,15,25,40,16,15,11,1,17,-27
233,ATL,ATL,vs,MIL,2021-04-04,W,48,109,43,85,50.6,6,20,30.0,17,25,68.0,8,38,46,26,17,14,5,13,5,MIL,MIL,@,ATL,2021-04-04,L,48,104,38,92,41.3,17,33,51.5,11,16,68.8,13,35,48,27,19,14,4,19,-5
234,ATL,ATL,vs,MIA,2021-04-04,W,48,98,36,78,46.2,10,22,45.5,16,19,84.2,5,33,38,24,13,13,2,22,13,MIA,MIA,@,ATL,2021-04-04,L,48,85,35,73,47.9,6,25,24.0,9,19,47.4,6,38,44,18,20,5,5,20,-13
235,ATL,ATL,vs,NYK,2021-04-04,L,48,108,39,88,44.3,11,32,34.4,19,23,82.6,12,25,37,27,8,10,3,17,-4,NYK,NYK,@,ATL,2021-04-04,W,48,112,43,77,55.8,13,25,52.0,13,19,68.4,9,30,39,33,18,7,7,19,4
236,ATL,ATL,vs,CHA,2021-04-04,L,48,93,34,79,43.0,8,30,26.7,17,23,73.9,5,34,39,27,8,6,3,21,-2,CHA,CHA,@,ATL,2021-04-04,W,48,95,35,80,43.8,6,25,24.0,19,31,61.3,12,36,48,27,10,3,2,20,2
237,ATL,ATL,vs,TOR,2021-04-04,L,48,86,29,72,40.3,5,22,22.7,23,31,74.2,8,27,35,21,12,6,2,18,-16,TOR,TOR,@,ATL,2021-04-04,W,48,102,41,74,55.4,4,12,33.3,16,23,69.6,6,33,39,16,15,6,4,23,16
238,ATL,ATL,vs,TOR,2021-04-04,L,48,96,35,88,39.8,9,28,32.1,17,23,73.9,14,28,42,22,11,8,1,19,-17,TOR,TOR,@,ATL,2021-04-04,W,48,113,40,78,51.3,10,27,37.0,23,27,85.2,10,37,47,24,18,7,10,20,17
239,ATL,ATL,vs,DET,2021-04-04,W,48,116,42,85,49.4,8,28,28.6,24,29,82.8,6,44,50,27,7,11,4,17,32,DET,DET,@,ATL,2021-04-04,L,48,84,32,92,34.8,7,25,28.0,13,19,68.4,15,37,52,17,14,4,4,19,-32
